stop_id,stop_name,num_lines,stop_code,x_coord,y_coord
101000001,U Fehrbelliner Platz,4,UFBP01,385502.31834625,5816951.85736841
101000002,U Blissestr.,1,UBLI03,385956.99754209,5816421.13703132
101000003,Am Volkspark,1,AMVP01,385929.5864099,5816226.06665506
101000004,Birger-Forell-Platz,1,BFPL01,385933.97557289,5815878.50433028
101000005,Detmolder Str./Blissestr.,1,DEBL01,385923.43240382,5815639.62037689
101000006,Hanauer Str.,2,HANA01,385918.8779761,5815421.01704895
101000007,Deidesheimer Str.,2,DEID01,385907.20314197,5815138.46002966
101000008,Wiesbadener Str./Laubacher Str.,3,WILA01,385814.61102067,5814796.53746599
101000009,Laubenheimer Str.,3,LBHM01,385577.91899372,5814617.65021171
101000010,U Breitenbachplatz,3,UBBP01,385159.98379197,5814393.81554485
101000011,Schorlemerallee,2,SCRL01,384969.78222282,5814224.74037152
101000012,Königin-Luise-Pl./Botan. Garten,2,KLBG01,384687.67646424,5813392.95240109
101000013,Arnimallee,2,ARNA01,384485.57154415,5813339.39374983
101000014,Edwin-Redslob-Str.,2,EDRL01,384181.39891465,5813345.48230801
101000015,U Dahlem-Dorf,3,UDD01,383783.85618648,5813368.4330819
101000017,Alliiertenmuseum,2,ALLI01,382688.03116243,5813211.97719022
101000018,Hüttenweg,2,HUTT01,382576.30048634,5812862.81921211
101000019,U Oskar-Helene-Heim,4,UOHH01,382447.81502762,5812526.68390951
101000020,U Hermannplatz/Urbanstr.,3,UHPU01,393000.68475868,5816528.25561118
101000021,Savignyplatz,2,SAVG02,386115.19473029,5818634.59152468
101000022,Schlüterstr.,2,SLUE01,385835.32678618,5818667.02155009
101000023,Scharfestr.,4,SCHF01,381882.66395067,5811233.9917159
101000026,Kleinaustr.,2,KNAU01,382003.38543541,5810867.01907794
101000027,Zehlendorf Eiche,8,ZEIC01,381718.72502763,5810779.13036701
101000028,Stubenrauchstr.,1,STUB02,382061.76397396,5810350.32532883
101000029,Schönower Park,2,SCOE01,381717.37012336,5809955.19502835
101000030,Leo-Baeck-Str.,3,LEOB01,381930.50883205,5809421.06754302
101000031,Laehrstr.,3,LAEH01,381987.43077555,5809138.20161983
101000032,Am Birkenknick,3,ABKN01,382081.82034149,5808590.53315829
101000033,Am Rehwechsel,3,AMRW01,382119.2441723,5808312.94492571
101000034,Beeskowdamm,3,BEED01,382135.48446071,5808062.45019877
101000035,Wupperstr.,2,WUPP01,382515.78551295,5808000.22262916
101000037,Darser Str.,2,DARS01,383190.17475889,5808732.77355606
101000038,Billy-Wilder-Promenade,2,BWLD01,383582.30974715,5808920.10354714
101000040,Turmstr./Waldstr.,1,TUWA01,386784.95434928,5820973.00668512
101000041,Wismarer Str.,1,WIST06,384773.04320878,5808861.58872113
101000042,Appenzeller Str.,3,APPZ01,384266.32189076,5809380.0841751
101000043,Billy-Wilder-Promenade,2,BWLD02,383449.87377066,5808880.92200631
101000044,Darser Str.,2,DARS02,383175.12663552,5808735.75739207
101000045,Alsterweg,2,ALST01,382779.25708682,5808362.59713177
101000046,Wupperstr.,2,WUPP02,382477.70283796,5807995.94703044
101000047,Beeskowdamm,3,BEED02,382150.96832122,5807993.25141091
101000048,Am Rehwechsel,3,AMRW02,382129.21135486,5808269.15032801
101000049,Am Birkenknick,3,ABKN02,382076.21711681,5808669.54404779
101000050,Laehrstr.,3,LAEH02,382003.5459889,5809091.59934862
101000051,Leo-Baeck-Str.,3,LEOB02,381946.87333029,5809377.26332459
101000052,Schönower Park,2,SCOE02,381754.89297716,5809856.78642796
101000053,Stubenrauchstr.,1,STUB01,382102.42059356,5810348.35912783
101000054,An der Mühle,9,ADMH01,383425.28806558,5828539.71190068
